scenario,card_number,cost,time,efficiency,qr_id
001,1,19,18,24,001_001_001
001,2,12,17,15,001_001_002
001,3,13,10,17,001_001_003
001,4,5,12,14,001_001_004
001,5,23,20,3,001_001_005
001,6,18,16,4,001_001_006
001,7,7,9,8,001_002_001
001,8,9,13,11,001_002_002
001,9,8,11,9,001_002_003
001,10,13,7,12,001_002_004
001,11,6,6,5,001_002_005
001,12,16,12,10,001_002_006
001,13,10,6,23,001_003_001
001,14,1,5,3,001_003_002
001,15,3,4,13,001_003_003
001,16,2,3,6,001_003_004
001,17,9,2,7,001_003_005
001,18,8,5,5,001_003_006
001,19,19,15,20,001_004_001
001,20,17,13,21,001_004_002
001,21,11,14,16,001_004_003
001,22,24,22,1,001_004_004
001,23,22,19,11,001_004_005
001,24,14,1,12,001_004_006
002,1,17,14,16,002_001_001
002,2,9,10,20,002_001_002
002,3,19,15,5,002_001_003
002,4,7,9,15,002_001_004
002,5,5,15,5,002_001_005
002,6,4,8,10,002_001_006
002,7,2,5,18,002_002_001
002,8,10,11,15,002_002_002
002,9,1,4,10,002_002_003
002,10,6,10,20,002_002_004
002,11,20,19,15,002_002_005
002,12,9,18,18,002_002_006
002,13,10,8,6,002_003_001
002,14,23,25,22,002_003_002
002,15,18,24,24,002_003_003
002,16,25,25,15,002_003_004
002,17,21,22,25,002_003_005
002,18,11,20,10,002_003_006
002,19,15,12.5,22,002_004_001
002,20,3,6,22,002_004_002
002,21,20,18,25,002_004_003
002,22,8,14,15,002_004_004
002,23,15,15,19,002_004_005
002,24,17,17,22,002_004_006
003,1,5,4,20,003_001_001
003,2,14,12,18,003_001_002
003,3,10,10,20,003_001_003
003,4,20,20,25,003_001_004
003,5,23,23,3,003_001_005
003,6,25,20,20,003_001_006
003,7,10,17,21,003_002_001
003,8,16,10,19,003_002_002
003,9,9,16,9,003_002_003
003,10,7,3,3,003_002_004
003,11,12,10,15,003_002_005
003,12,18,15,20,003_002_006
003,13,5,15,18,003_003_001
003,14,15,22,10,003_003_002
003,15,7,5,15,003_003_003
003,16,20,8,12,003_003_004
003,17,12,15,15,003_003_005
003,18,18,18,18,003_003_006
003,19,12,18,22,003_004_001
003,20,19,18,19,003_004_002
003,21,18,18,10,003_004_003
003,22,15,15,20,003_004_004
003,23,18,22,12,003_004_005
003,24,25,25,1,003_004_006
